Movie_Duration_Min,Genre,Budget_Million,IMDb_Rating,Language,Lead_Actor_Popularity,Marketing_Spend_Million,Box_Office_Million,Director_Rating,Social_Media_Buzz,Critic_Score,Audience_Score,Franchise,Awards_Nominated,Target
168,Drama,211.5,6.4,English,24,80.7,91.6,7.6,91,6.7,4.6,No,9,Flop
179,Action,204.8,4.6,French,92,78.2,476.2,5.6,82,8.4,4.3,Yes,8,Hit
107,Comedy,94.7,6.1,Korean,73,36.2,92.3,5.8,41,8.8,6.9,No,4,Flop
141,Comedy,228.1,5.4,Korean,1,87.1,459.9,6.0,58,4.4,7.9,Yes,4,Hit
120,Thriller,45.2,3.2,Spanish,70,17.3,81.8,5.0,18,5.7,5.4,Yes,0,Flop
80,Action,283.2,4.1,French,78,108.1,108.8,5.8,94,7.9,7.0,No,3,Flop
167,Drama,142.5,4.3,Hindi,79,54.4,328.9,6.4,23,5.4,6.5,Yes,1,Flop
117,Comedy,75.8,3.2,Spanish,62,28.9,156.4,4.4,43,4.7,5.6,No,4,Flop
133,Drama,169.9,6.0,Spanish,7,64.9,164.9,5.2,33,4.3,5.6,Yes,8,Flop
157,Action,227.1,4.7,Spanish,97,86.7,311.7,5.0,20,4.9,4.3,Yes,4,Flop
179,Action,134.8,4.4,French,92,51.5,181.9,5.2,53,5.3,8.5,Yes,7,Hit
127,Action,81.3,9.4,Hindi,97,31.0,57.0,9.0,91,5.9,4.5,No,8,Flop
151,Romance,80.5,5.1,Spanish,26,30.7,64.4,7.0,66,9.0,7.4,No,2,Flop
155,Romance,245.3,7.8,Hindi,24,93.7,374.8,8.3,48,6.4,4.0,No,9,Hit
85,Drama,62.9,8.7,Hindi,96,24.0,91.4,7.8,37,9.5,7.0,Yes,4,Hit
140,Romance,56.6,3.4,English,17,21.6,19.3,5.8,75,8.0,4.4,Yes,0,Flop
150,Drama,29.0,7.4,Spanish,62,11.1,51.2,7.2,13,6.6,8.1,No,6,Hit
82,Thriller,236.7,6.2,English,39,90.4,191.6,4.8,87,7.5,4.7,No,6,Flop
120,Thriller,45.6,3.7,French,80,17.4,66.9,5.8,86,7.2,7.3,No,0,Hit
170,Thriller,298.3,4.5,Korean,8,113.9,331.2,8.8,44,7.4,4.6,No,0,Hit
107,Drama,6.3,8.7,Hindi,6,2.4,10.2,5.6,21,7.1,7.6,Yes,1,Hit
108,Comedy,183.0,5.7,Korean,94,69.9,362.0,9.1,43,7.6,4.9,No,6,Hit
93,Comedy,78.3,7.7,Hindi,90,29.9,97.2,7.1,24,6.6,6.3,No,1,Hit
167,Thriller,65.9,3.5,English,90,25.2,138.9,9.2,20,5.5,5.2,No,5,Hit
157,Thriller,20.5,5.9,Hindi,70,7.8,49.9,5.8,98,8.7,5.9,No,8,Hit
170,Drama,298.7,4.3,Korean,24,114.0,485.5,8.4,48,4.2,6.1,Yes,1,Hit
123,Drama,137.2,3.7,English,38,52.4,207.8,5.9,94,5.6,5.0,No,0,Flop
149,Comedy,47.6,4.2,French,32,18.2,35.5,6.7,57,5.7,5.6,Yes,8,Flop
117,Comedy,289.9,7.2,Korean,69,110.7,408.7,5.8,69,8.5,7.1,Yes,9,Hit
121,Comedy,276.4,4.1,Hindi,61,105.5,548.1,9.1,20,7.4,9.4,No,0,Hit
166,Comedy,120.2,9.2,Hindi,56,45.9,38.8,7.6,83,8.8,6.5,Yes,4,Flop
80,Action,8.5,4.8,Spanish,10,3.2,17.4,4.2,13,5.6,4.4,No,4,Flop
111,Comedy,108.1,5.0,Korean,87,41.3,44.9,7.0,17,7.0,8.6,Yes,3,Flop
95,Comedy,146.6,5.6,Hindi,27,56.0,73.3,4.6,18,4.0,5.8,No,5,Flop
129,Drama,180.5,6.7,English,14,68.9,426.9,7.7,28,8.1,5.4,No,0,Hit
148,Comedy,115.0,8.1,English,94,43.9,60.3,7.0,63,5.1,4.3,Yes,0,Flop
152,Action,169.0,7.1,Hindi,64,64.5,165.3,6.8,14,8.6,5.6,No,5,Flop
103,Thriller,294.0,4.0,Hindi,22,112.2,586.9,5.2,96,8.0,5.5,No,4,Hit
144,Comedy,241.7,4.8,Korean,79,92.3,313.9,4.6,54,8.5,8.7,No,6,Hit
137,Drama,239.4,6.6,Spanish,19,91.4,401.5,7.6,73,5.6,5.3,No,3,Hit
142,Drama,257.7,9.4,Hindi,8,98.4,310.2,4.6,95,7.2,4.7,Yes,0,Hit
89,Romance,139.3,8.5,Korean,35,53.2,202.0,6.0,60,5.6,8.2,No,2,Hit
137,Romance,164.9,3.3,Spanish,30,63.0,309.6,6.1,47,8.4,4.3,Yes,9,Hit
83,Comedy,294.9,5.7,French,32,112.6,602.6,4.4,79,4.2,7.4,Yes,2,Hit
86,Drama,210.0,4.8,French,84,80.2,104.8,5.3,70,8.2,6.1,Yes,3,Flop
91,Romance,251.7,9.4,Spanish,80,96.1,375.5,6.3,95,5.7,9.4,Yes,7,Hit
149,Action,47.2,6.8,French,17,18.0,74.7,7.1,99,6.2,8.3,Yes,2,Hit
103,Romance,50.0,4.6,Hindi,5,19.1,34.5,4.6,39,5.7,7.4,No,3,Flop
114,Action,26.3,9.0,Korean,63,10.0,25.9,4.7,60,9.0,7.2,No,1,Flop
128,Drama,117.7,6.3,French,37,44.9,140.9,7.0,43,9.4,7.1,No,2,Hit
129,Thriller,283.9,5.8,Hindi,71,108.4,653.0,4.7,75,8.1,8.5,Yes,6,Hit
131,Romance,185.2,4.5,Korean,84,70.7,358.1,7.4,61,7.3,8.9,No,1,Hit
110,Romance,193.8,7.6,Hindi,42,74.0,67.4,7.8,60,8.2,6.7,No,4,Flop
145,Drama,130.4,8.0,Hindi,92,49.8,52.2,8.8,27,4.9,4.9,No,5,Flop
95,Action,157.6,5.2,Korean,12,60.2,308.6,8.5,18,5.6,8.2,Yes,4,Hit
162,Drama,265.5,3.5,Hindi,98,101.4,567.0,7.4,12,4.8,8.6,No,2,Hit
157,Drama,270.7,3.7,Spanish,49,103.3,654.9,4.2,49,4.5,9.2,Yes,0,Hit
158,Thriller,105.8,3.1,Hindi,87,40.4,180.0,8.0,48,9.4,4.1,No,0,Hit
147,Drama,5.7,4.0,Spanish,39,2.2,10.0,4.9,57,4.9,6.5,No,5,Flop
174,Action,74.5,4.8,French,74,28.4,40.9,5.9,60,5.1,8.3,Yes,9,Flop
120,Romance,170.0,4.5,Korean,90,64.9,148.8,8.5,45,6.2,7.5,Yes,4,Flop
90,Comedy,160.5,7.5,Korean,59,61.3,81.8,7.4,10,7.5,5.1,No,7,Flop
102,Comedy,211.8,9.4,English,68,80.9,462.0,8.7,79,5.3,4.9,No,4,Hit
136,Drama,88.3,3.0,Spanish,40,33.7,145.4,7.9,94,7.5,8.3,Yes,9,Hit
125,Action,176.0,6.4,Hindi,73,67.2,325.7,6.6,67,5.1,7.2,No,0,Hit
